damage,year,month,targetspp,point_x,point_y,bear_abund,landcover_2,altitude,human_population,dist_to_forest,dist_to_town,livestock_killed,shannondivindex,prop_arable,prop_orchards,prop_pasture,prop_ag_mo,prop_seminatural,prop_deciduous,prop_coniferous,prop_mixedforest,prop_grassland,prop_for_regen,openhab_10k,forest_10k,urban_10k,heteroag_10k,ag_10k,shdi_10k,s.bear_abund,s.altitude,s.dist_to_town,s.dist_to_forest
1,2010,9,ovine,521782,539894,31,Art_surfaces,565,208,1881.190046,0,1,0.938402,72.164,0,12.494,3.1,4.138,0,0,0,0,0,-0.828628953,-1.619428323,0.777205193,-0.828628953,2.379753991,-0.724029877,0.395761332,-0.946723318,-1.086341317,1.373163305
1,2010,9,ovine,529961,548541,42,Art_surfaces,565,112,287.709344,3.258601,2,1.289333,0.078,0,5.195,38.154,0,39.76,0,0.55,0.509,0,-0.402110673,-0.293647231,0.654603166,-0.402110673,-0.389242573,1.621486323,1.169146317,-0.910995648,-1.086341317,-0.056510315
1,2010,9,ovine,542980,573232,45,Art_surfaces,745,407,2429.230581,0,1,0.901253,62.964,0,23.686,0,0,0,0,0,0,0,-0.622249157,-1.619428323,2.984040548,-0.622249157,2.037518502,-0.673540182,0.207592415,-0.283387396,-1.086341317,1.700109219
1,2010,7,ovine,548098,580666,45,Ag_land,833,709,389.749254,0,1,1.270344,40.142,0,0,1.096,0,0,5.745,0,20.539,0,0.891202855,-1.448068867,2.861438646,0.891202855,0.851361243,0.689607981,0.207592415,0.03459151,-1.086341317,0.059340577
1,2010,10,ovine,557160,484329,25,Open,636,0,31.310473,2200.781541,1,0.404569,0,0,13.474,0,0,86.403,0.123,0,0,0,1.180134638,0.115210413,-0.536387379,1.180134638,-0.618695935,-0.550299759,0.719892407,-0.683707594,-0.270218514,-0.343196264
1,2010,4,ovine,562336,573900,20,Open,942,1,76.47169,42.401762,1,0.960266,0,0,0.002,0,0.205,0,69.814,0,16.047,1.356,0.079442265,0.325651905,1.285127661,0.079442265,-0.622584975,0.715259154,-0.394816698,0.396372274,-1.050857716,-0.343196264
1,2010,4,ovine,578863,506681,53,Hetero_ag,640,82,150.534807,258.361528,4,0.424159,0,0,3.209,0,8.259,88.532,0,0,0,0,-0.298920751,0.35872112,-0.028464942,-0.298920751,-0.494246653,-0.018627751,0.56583257,-0.615245219,-0.958403381,-0.229731225
1,2010,4,ovine,580496,505575,53,Art_surfaces,627,512,312.925452,0,4,1.243884,8.211,0,35.626,0,0,44.334,0,0,0,0,-0.154454859,-0.955034631,2.686293037,-0.154454859,0.380787361,1.679321483,0.56583257,-0.69083464,-1.086341317,-0.104019317
1,2010,7,ovine,631910,496361,10,Open,580,0,143.05097,1022.000163,1,0.528507,0,0,85.946,4.99,0,0.254,0,8.298,0,0.513,3.64981328,-1.102343641,0.216739017,3.64981328,-0.622584975,-0.002196433,-1.418464326,-0.870938407,-0.731505315,-0.229731225
1,2010,7,ovine,631098,494625,10,Open,525,165,542.128879,265.944511,1,1.652465,0,0,29.636,8.327,9.909,0,18.612,0,0,7.379,1.799273974,-1.177501293,1.635418879,1.799273974,-0.412576816,1.354876978,-1.418464326,-1.076038035,-0.908923316,-0.343196264
1,2010,7,ovine,632884,497013,10,Forests,703,0,0,1970.654124,1,0.681016,0,0,76.07,0,0,18.284,0,5.646,0,0,3.670451166,-0.927977871,-0.536387379,3.670451166,-0.622584975,-0.469023495,-1.418464326,-0.531100355,-0.403800624,-0.343196264
1,2011,9,ovine,547366,572492,45,Art_surfaces,788,228,849.635008,0,1,1.24565,54.435,0,4.754,0,2.468,0,9.088,3.064,0.037,0,-0.876784241,-1.387942742,1.81056474,-0.876784241,1.90918011,0.130855097,0.207592415,-0.126368537,-1.050857716,0.386049328
1,2011,6,ovine,550417,556873,36,Forests,931,0,254.886732,5712.329298,1,1.609478,0,0,14.226,0,5.882,0,34.5,7.577,11.837,25.978,0.973754793,0.157298677,-0.536387379,0.973754793,-0.622584975,1.361272818,0.70333408,0.37897021,1.057408527,-0.343196264
1,2011,6,ovine,551622,556490,36,Forests,887,0,0,4524.001302,3,1.267947,4.297,0,55.495,0,12.27,0,12.558,0,0,15.379,1.916222586,-0.471019336,-0.536387379,1.916222586,-0.43202201,1.027325597,0.70333408,0.20584476,0.618718611,-0.343196264
1,2011,6,ovine,554668,501239,25,Open,607,0,17.703119,2387.44064,7,0.857118,0,0,36.323,0,0,57.541,0,0,0,6.136,0.698581798,0.151286092,-0.536387379,0.698581798,-0.218124801,-0.068901857,-0.250290713,-0.768375929,-0.228841396,-0.434991409
1,2011,6,ovine,554666,501231,25,Open,615,0,9.794542,2393.893245,7,0.857118,0,0,36.323,0,0,57.541,0,0,0,6.136,0.698581798,0.151286092,-0.536387379,0.698581798,-0.218124801,-0.068901857,-0.250290713,-0.768375929,-0.228841396,-0.434991409
1,2011,7,ovine,566009,514111,54,Art_surfaces,614,0,124.903875,126.575569,1,1.753442,0,0,10.372,0,3.892,24.555,23.758,22.229,0,0,-0.718559735,0.51504918,0.584544972,-0.718559735,-0.40868778,1.55910567,2.1199626,-0.755641809,-1.086341317,-0.251401118
1,2011,10,ovine,566940,494535,54,Ag_land,602,353,399.926159,448.007819,3,1.346221,17.608,0,32.274,4.914,0,40.929,0,0,0,1.389,0.05880428,-0.82576346,1.00489451,0.05880428,0.555794128,1.404246577,3.33152843,-0.81031338,-0.905409749,-0.30517347
1,2011,8,ovine,574699,477362,19,Ag_land,550,30,286.340361,154.690656,1,1.042437,59.975,0,24.609,0,0,9.526,0,0,0,0,0.822409508,-1.060255377,-0.133552327,0.822409508,1.189707711,0.117218616,-0.136547589,-0.929338358,-1.006997575,-0.067810827
1,2011,9,ovine,595152,494093,37,Art_surfaces,588,861,624.545881,0,4,1.586408,22.922,0,3.694,3.889,9.591,5.773,0,0.291,0,10.163,0.182632187,-0.976078806,3.369360989,0.182632187,0.388565405,1.686770149,0.454182959,-0.838112127,-1.086341317,0.214098318
1,2011,6,ovine,600096,491817,37,Open,742,0,70.627556,2707.696935,2,1.722774,0,0,16.556,7.379,0,29.514,10.272,24.937,0,9.773,-0.367714048,0.776597813,-0.536387379,-0.367714048,-0.622584975,1.491766985,0.454182959,-0.440579447,-0.248898293,-0.30517347
1,2011,12,ovine,627880,489503,49,Hetero_ag,540,7,98.560158,289.984783,1,1.35889,0,0,51.167,2.019,9.841,21.912,10.846,0,0,0.035,0.973754793,-0.362792297,0.847263386,0.973754793,-0.622584975,1.278002616,0.240439572,-0.930359538,-1.006997575,-0.17535553
1,2011,12,ovine,629533,492900,30,Art_surfaces,518,473,331.369149,0,1,1.683917,22.831,0,10.79,0,21.279,6.002,12.008,0,0,0,0.093200856,-0.606303091,1.758021032,0.093200856,-0.152011149,1.5635458,0.168340615,-1.111962386,-1.086341317,-0.104019317
1,2011,12,ovine,629438,490482,10,Art_surfaces,475,189,68.94492,0,1,1.345407,3.793,0,0.533,46.215,0.309,5.189,20.74,0,0,0,-0.828628953,-0.582252667,2.913982354,-0.828628953,-0.498135689,1.4454867,-1.418464326,-1.27848621,-1.086341317,-0.343196264
