damage,year,month,targetspp,point_x,point_y,bear_abund,landcover_2,altitude,human_population,dist_to_forest,dist_to_town,livestock_killed,shannondivindex,prop_arable,prop_orchards,prop_pasture,prop_ag_mo,prop_seminatural,prop_deciduous,prop_coniferous,prop_mixedforest,prop_grassland,prop_for_regen,openhab_10k,forest_10k,urban_10k,heteroag_10k,ag_10k,shdi_10k,s.bear_abund,s.altitude,s.dist_to_town,s.dist_to_forest
1,2009,9,bovine,573760,557043,16,Hetero_ag,1043,0,941.710286,423.900622,1,1.643732,0.699,0,2.524,34.622,8.881,0,1.579,0,12.579,27.201,0.437167296,-0.906933739,1.512816978,0.437167296,-0.330906966,1.977897063,-0.705795943,0.781349005,-0.905409749,-0.343196264
1,2009,8,bovine,576846,563028,16,Forests,1142,0,77.758109,651.886437,1,1.168242,56.656,0,0,0.088,16.896,0,14.351,0,0,0.118,-0.869904921,-0.449975204,0.63708868,-0.869904921,0.41578867,1.354778098,-0.705795943,1.062375561,-0.859135411,-0.343196264
1,2009,9,bovine,575040,560441,16,Hetero_ag,986,0,1154.864856,212.511197,3,1.886367,16.112,0,12.179,6.542,17.012,0,20.879,0,0,18.029,-0.71168039,-1.18351392,2.441088983,-0.71168039,0.314673654,1.658141508,-0.705795943,0.482579198,-0.927653834,-0.343196264
1,2009,9,bovine,575599,560048,16,Forests,1072,0,499.551022,835.616339,3,1.886367,16.112,0,12.179,6.542,17.012,0,20.879,0,0,18.029,-0.415869313,-0.985097683,1.547846075,-0.415869313,0.314673654,1.835493568,-0.705795943,0.782188984,-0.721015303,-0.434991409
1,2009,7,bovine,575754,561637,16,Ag_land,1021,267,47.346639,174.889529,3,1.886367,16.112,0,12.179,6.542,17.012,0,20.879,0,0,18.029,-0.780473664,-0.943009419,2.19588518,-0.780473664,0.660798277,1.5994294,-0.705795943,0.728574963,-1.015374116,-0.343196264
1,2009,9,bovine,575361,559602,16,Hetero_ag,1154,2,792.245636,740.905235,1,1.736276,35.26,0,17.633,18.6,5.347,0,6.368,0,0.038,7.691,-0.457145282,-1.156457161,1.705477324,-0.457145282,0.334118876,1.716092027,-0.705795943,1.037125975,-0.802472516,-0.229731225
1,2009,9,bovine,578824,559120,16,Open,1160,0,202.193981,1192.852245,2,1.368364,0,0,50.324,10.503,9.115,0,16.707,0,0,13.35,0.925599529,0.112204121,-0.536387379,0.925599529,-0.622584975,0.608530962,-0.705795943,1.187164352,-0.154939089,-0.343196264
1,2009,7,bovine,579758,506616,53,Art_surfaces,621,799,197.00605,0,4,1.70955,10.661,0,14.455,11.509,15.583,32.451,0,0,0,0,-0.106299595,-0.36579859,1.390214951,-0.106299595,-0.070341299,1.125795984,0.56583257,-0.712666941,-1.086341317,-0.229731225
1,2009,7,bovine,583425,471807,35,Open,817,0,34.534654,1167.13282,1,0.530056,0,0,18.797,0,0.841,80.362,0,0,0,0,0.05880428,0.382771631,-0.256154291,0.05880428,-0.622584975,-0.416414235,0.164795543,0.040674211,-0.637505352,-0.434991409
1,2009,7,bovine,625584,481137,25,Forests,943,0,0,961.261525,2,1.2084,0,0,16.261,1.138,0.08,39.082,1.294,40.521,0,1.625,-0.622249157,0.920900531,-0.536387379,-0.622249157,-0.622584975,0.450653067,0.010261545,0.564091985,-0.130916103,-0.434991409
