Damage,Year,Month,Targetspp,POINT_X,POINT_Y,Bear_abund,Landcover_code,Altitude,Human_population,Dist_to_forest,Dist_to_town,Livestock_killed,ShannonDivIndex,prop_arable,prop_orchards,prop_pasture,prop_ag_mosaic,prop_seminatural,prop_deciduous,prop_coniferous,prop_mixedforest,prop_grassland,prop_for_regen
0,2009,0,,504515.5368,551695.4544,27,211,512,0,1812.667021,684.466297,2,1.229061,28.723,0,5.462,40.892,0,0,0,0,0,0
1,2016,7,alte,504711,550816,27,211,450,0,1160.373142,101.301004,2,1.229061,28.723,0,5.462,40.892,0,0,0,0,0,0
0,2009,0,,505200.5866,544291.0092,43,311,494,3,0,823.545171,0,0.715594,0,0,0,0,49.837,49.78,0,0,0,0
0,2012,0,,505207.3361,562665.5456,0,311,556,0,0,1100.60812,0,0.882621,10.846,0,0.251,0,0,70.689,0,0,0.125,16.045
0,2014,0,,505652.0517,552734.6052,27,231,544,0,317.167146,1739.559971,0,1.578117,20.747,0,29.41,0,14.951,15.841,0,0,0,0
0,2014,0,,505903.945,540707.1027,43,242,493,0,664.589374,231.477753,0,1.788754,32.125,0,18.99,6.96,6.931,8.639,0,0,0,0
0,2012,0,,506128.0671,557130.6628,34,321,849,0,79.517952,2149.876776,0,1.291152,0,0,9.081,1.019,44.391,26.918,0,0,18.591,0
0,2009,0,,506173.0781,541130.4186,43,211,490,0,615.72147,730.481645,0,1.788754,32.125,0,18.99,6.96,6.931,8.639,0,0,0,0
0,2014,0,,506207.1705,549020.2959,43,311,664,0,0,2018.182123,0,0.816856,0,0,32.562,4.527,0.315,62.596,0,0,0,0
0,2009,0,,506273.7689,536909.0797,43,231,536,0,400.799592,743.5575,0,1.547722,20.939,0,27.485,6.202,33.786,7.264,0,0,0,0
0,2014,0,,506524.3197,558123.3752,34,243,742,0,48.06984,1984.044011,0,1.409249,0,0,2.599,11.214,24.318,32.447,0,0,29.421,0
0,2012,0,,506640.6727,549554.2023,43,311,549,0,0,2000.271038,0,0.816856,0,0,32.562,4.527,0.315,62.596,0,0,0,0
0,2009,0,,506793.7653,536887.4039,43,243,537,0,28.992602,594.077265,0,1.547722,20.939,0,27.485,6.202,33.786,7.264,0,0,0,0
0,2009,0,,507018.9982,554198.8348,27,311,718,0,0,2169.839799,0,1.148254,3.108,0,42.591,0,18.047,36.254,0,0,0,0
0,2016,0,,507028.9582,543163.2999,43,311,638,0,0,912.312795,0,1.580375,17.406,0,32.035,0,1.148,17.318,0,0,0,0
0,2016,0,,507217.1717,537089.9162,43,243,535,22,55.517503,582.484992,0,1.692589,16.947,0,18.526,7.689,32.052,12.115,0,0,0,0
0,2012,0,,507266.6113,556846.3988,34,311,768,0,0,2255.494811,0,1.137751,21.591,0,3.578,0,24.156,50.675,0,0,0,0
0,2012,0,,507268.1004,524485.8003,0,311,644,0,0,3904.670171,0,0.397799,0,0,11.621,0,0,87.735,0,0.638,0,0.007
0,2009,0,,507629.6679,523506.5362,0,311,585,0,0,3062.528918,0,1.298509,1.508,0,37.842,0,14.252,37.018,0,0,0,9.38
0,2012,0,,508199.4638,540783.9775,43,243,514,0,1888.621143,986.632692,0,0.950598,58.691,0,15.008,0,26.277,0,0,0,0,0
0,2016,0,,508335.2936,543164.365,43,231,623,0,145.598836,520.067627,0,1.580375,17.406,0,32.035,0,1.148,17.318,0,0,0,0
0,2014,0,,508382.9749,538127.0259,43,242,437,131,830.862247,133.081718,0,1.273418,54.759,0,8.678,10.537,19.723,0,0,0,0,0
0,2012,0,,508476.4495,546275.2988,43,243,610,0,339.230711,503.123178,0,1.421879,0,0,19.324,0.051,28.431,37.96,0,0,0,0
0,2012,0,,508715.1072,546661.0816,43,243,656,0,41.685456,570.999216,0,1.421879,0,0,19.324,0.051,28.431,37.96,0,0,0,0
0,2014,0,,509003.4133,531543.9479,32,231,581,0,493.890643,1241.386773,1,1.210683,58.278,0,8.357,3.303,12.973,0.16,0,0,0,0
0,2012,0,,509059.5131,525486.4255,30,311,757,0,0,3197.808392,0,0.675328,0,0,21.449,0,0,74.639,0,0,0,3.912
0,2012,0,,509185.8566,537480.888,32,311,512,0,0,506.152726,0,1.143361,9.022,0,12.156,0,13.929,62.106,0,0,0,2.787
0,2009,0,,509412.8889,522452.7305,0,211,561,0,125.380559,1755.476882,0,1.453944,32.817,0,33.534,0,15.193,7.272,0,0,0,11.184
0,2014,0,,509483.1959,555716.2907,34,211,775,0,68.847647,1192.554624,0,0.89638,64.291,0,0,0,15.595,20.114,0,0,0,0
0,2014,0,,509693.0603,544010.8675,43,311,617,0,0,1183.956101,0,1.485221,16.393,0,39.918,0,4.818,22.37,0,0,0,15.269
0,2009,0,,509921.4995,525540.8128,30,311,718,0,0,2625.943872,0,0.675328,0,0,21.449,0,0,74.639,0,0,0,3.912
0,2014,0,,510050.7112,526834.7003,30,311,615,0,0,2640.365152,0,0.470612,0,0,0,0,0,82.051,0,0,17.949,0
0,2014,0,,510187.5126,562445.7392,42,243,530,775,46.930339,0,0,1.422279,48.989,0,0.508,0,9.409,20.813,3.5,0,0,0.111
1,2014,6,alte,510220,530723,32,112,451,794,1265.296849,0,1,1.210683,58.278,0,8.357,3.303,12.973,0.16,0,0,0,0
0,2016,0,,510312.2665,552406.95,27,231,730,0,410.505904,796.722182,0,1.556498,22.369,0,34.068,4.721,24.059,12.25,0,0,0,1.175
0,2012,0,,510435.0864,535522.6155,32,311,829,0,0,2535.969645,0,0.689573,0,0,23.004,0,3.762,73.234,0,0,0,0
0,2009,0,,510570.6208,545616.5032,43,231,643,0,308.368068,830.945772,0,1.485221,16.393,0,39.918,0,4.818,22.37,0,0,0,15.269
0,2014,0,,510571.0066,541630.7147,43,211,509,113,1102.736273,191.682408,0,0.898997,72.541,0,5.779,15.463,2.138,0,0,0,0,0
0,2009,0,,510644.4276,552906.3342,34,231,731,0,611.924055,396.112681,0,1.556498,22.369,0,34.068,4.721,24.059,12.25,0,0,0,1.175
0,2012,0,,510655.5467,532409.2328,32,243,595,0,1013.788047,1287.196725,0,1.256144,46.957,0,12.984,0,16.035,24.024,0,0,0,0
0,2009,0,,510695.1807,559734.4331,34,211,554,271,927.38148,482.740555,0,1.370226,50.555,0,0,9.298,0,6.529,0,0,1.737,0
0,2012,0,,510990.0676,535654.2375,32,311,836,0,0,2958.10375,0,0.69912,0,0,1.686,0,7.714,79.18,0,0,11.42,0
0,2014,0,,511076.753,528821.9362,30,311,459,0,0,904.206268,0,1.292141,8.369,0,6.918,0,22.688,54.999,0,0,2.775,4.242
0,2009,0,,511206.8593,544762.3902,43,243,585,19,594.411445,0,0,1.373851,41.718,0,4.603,0,25.615,20.658,0,0,0,0
0,2012,0,,511270.8875,520698.5793,30,311,561,0,0,1368.792939,0,1.180545,36.239,0,38.012,0,0.026,22.675,0,0,0,3.049
0,2014,0,,511283.345,543442.4824,43,311,604,0,0,441.721204,0,1.444025,21.556,0,27.365,3.006,15.358,32.715,0,0,0,0
0,2009,0,,511366.4115,545253.9636,43,243,609,19,220.833073,465.949262,0,1.373851,41.718,0,4.603,0,25.615,20.658,0,0,0,0
0,2009,0,,511455.9473,550152.4997,34,311,995,0,0,1362.986077,0,1.018171,2.488,0,37.223,0,8.956,51.332,0,0,0,0
0,2009,0,,511591.1593,548677.7486,43,231,934,0,199.658299,936.98142,0,1.400839,35.6,0,16.528,1.543,14.164,31.57,0,0,0,0
0,2014,0,,511651.7962,535070.7822,32,311,838,0,0,3688.709474,0,0.69912,0,0,1.686,0,7.714,79.18,0,0,11.42,0
0,2012,0,,511686.4994,561541.2116,42,311,777,3,0,839.456047,0,1.085114,12.624,0,0,3.765,0,52.72,0,0,30.891,0
0,2014,0,,512177.2512,538966.0983,32,211,505,0,577.167599,699.190707,0,1.655643,15.607,0,33.979,13.698,16.578,16.364,0,0,0,0
0,2014,0,,512217.4314,536613.5565,32,311,728,0,0,2853.890396,0,0.210007,0,0,5.338,0,0,94.644,0,0,0,0.017
0,2009,0,,512238.1547,562364.9681,42,324,611,0,281.65367,678.012591,0,1.674998,4.344,0,12.722,0,22.229,34.039,5.606,0,0,18.087
0,2014,0,,512257.1744,541765.2448,43,231,569,0,699.473273,837.792965,0,1.444025,21.556,0,27.365,3.006,15.358,32.715,0,0,0,0
0,2014,0,,512445.3889,557173.0785,34,112,545,239,1062.915103,15.554795,0,1.519627,36.436,0,0,2.795,26.335,8.29,0,0,19.941,0
0,2014,0,,512446.9343,558901.8597,34,321,648,0,655.542208,405.269995,0,1.330734,35.436,0,0,13.698,0,0.358,0,0,33.049,0
0,2014,0,,512572.4778,560224.267,34,321,788,0,53.100526,1449.190886,0,1.085114,12.624,0,0,3.765,0,52.72,0,0,30.891,0
0,2016,0,,512589.1675,527822.451,30,211,594,0,174.033111,1053.414478,0,1.292141,8.369,0,6.918,0,22.688,54.999,0,0,2.775,4.242
0,2014,0,,512673.8194,532736.5434,32,311,673,0,0,1364.536776,0,1.508754,26.153,0,18.515,0,22.857,28.281,0,0,3.54,0.655
0,2009,0,,512701.5257,547960.2514,43,211,775,0,125.803808,747.399034,0,1.400839,35.6,0,16.528,1.543,14.164,31.57,0,0,0,0
0,2009,0,,512756.4198,563384.1058,42,311,623,0,0,1415.127045,0,1.674998,4.344,0,12.722,0,22.229,34.039,5.606,0,0,18.087
0,2012,0,,512926.5045,550690.3343,34,231,766,0,338.813636,1001.813806,0,1.375209,45.686,0,10.644,0,10.342,27.594,0,0,0,0.906
0,2009,0,,513015.566,521780.4796,30,211,538,0,462.836406,1495.415573,0,0.944666,49.814,0,44.028,1.599,0,1.582,0,0,0,0
0,2009,0,,513114.0018,547540.1643,43,311,761,107,0,579.237951,1,1.448577,23.779,0,8.644,0,23.774,36.813,0,0,0,0
0,2009,0,,513147.2719,551861.6389,34,211,628,709,917.940412,627.356445,0,1.070168,48.786,0,0,1.969,13.987,0,0,0,0,0
0,2014,0,,513178.7986,535159.4707,32,311,796,0,0,2290.687309,0,0.642711,0.766,0,28.801,0,0,70.432,0,0,0,0
0,2012,0,,513294.4213,550492.6359,34,231,760,0,52.351221,811.202734,0,1.375209,45.686,0,10.644,0,10.342,27.594,0,0,0,0.906
0,2014,0,,513392.3555,541982.457,43,211,568,133,584.196899,270.926268,0,1.173526,57.95,0,15.359,14.444,0.592,11.477,0,0,0,0
0,2012,0,,513494.6426,535592.9801,32,231,796,0,3.956235,1891.674065,0,0.642711,0.766,0,28.801,0,0,70.432,0,0,0,0
0,2009,0,,513597.9084,557384.7756,34,321,683,0,388.866939,562.37896,1,1.382448,5.578,0,1.143,15.031,29.194,5.721,0,0,43.333,0
0,2016,0,,513728.8425,551563.4914,34,211,607,709,403.373026,198.342841,0,1.375209,45.686,0,10.644,0,10.342,27.594,0,0,0,0.906
1,2014,9,bovine,513946,564975,42,243,748,0,122.284317,2662.933571,1,0.762419,0,0,2.688,0,35.539,61.774,0,0,0,0
0,2014,0,,513954.1837,523677.0989,30,231,576,0,257.631593,1006.57579,0,0.944666,49.814,0,44.028,1.599,0,1.582,0,0,0,0
0,2016,0,,514034.4013,548976.0459,34,231,918,0,506.963622,397.969748,0,1.357543,23.945,0,40.072,0,26.787,6.813,0,1.305,0,0.538
1,2012,10,bovine,514079,556360,34,321,799,30,135.372455,1034.247232,1,1.382448,5.578,0,1.143,15.031,29.194,5.721,0,0,43.333,0
0,2012,0,,514168.4671,532471.7178,32,242,570,230,669.212823,240.589313,0,1.82651,24.854,0,5.148,21.028,11.961,18.936,0,0,0,0
0,2014,0,,514281.4079,527354.1464,30,112,462,239,1648.035038,0,0,1.195823,50.842,0,25.077,0,14.418,0,0,0,0,0
1,2012,6,ovine,514411,545223,43,311,684,0,0,1266.185525,1,1.226626,17.296,0,14.857,0,16.527,51.321,0,0,0,0
1,2009,6,bovine,514792,546860,43,211,807,98,589.569354,436.475433,1,1.448577,23.779,0,8.644,0,23.774,36.813,0,0,0,0
0,2012,0,,515098.5278,543914.6037,43,243,588,118,745.479802,109.555667,0,1.677426,8.556,0,31.421,5.221,30.203,7.533,0,0,0,0
0,2012,0,,515319.5084,553443.5837,34,243,710,33,742.13399,571.274293,2,1.346276,2.775,0,12.457,0,40.249,32.388,0,0,0,0
0,2016,0,,515391.9533,546622.8448,31,243,816,0,621.407902,1011.14138,0,1.346908,28.466,0,45.32,0,11.2,5.921,0,0,0,9.092
1,2013,9,ovine,515459,532286,32,112,586,121,953.055012,0,1,1.211656,61.416,0,0.521,0.936,6.029,4.338,0,0,0,0
0,2012,0,,515545.5179,531274.4184,32,311,557,0,0,881.106632,0,1.101973,46.392,0,25.645,0,0.917,27.046,0,0,0,0
1,2016,7,alte,515884,552827,34,112,675,33,172.366258,455.510134,2,1.346276,2.775,0,12.457,0,40.249,32.388,0,0,0,0
0,2009,0,,515900.4991,539671.7565,32,211,510,109,421.280511,655.718724,0,1.523612,22.742,0,15.806,0.374,20.203,35.377,0,0,0,4.622
1,2012,9,bovine,516028,558289,34,231,969,14,105.743995,733.354632,1,1.428759,29.153,0,10.786,9.673,4.104,43.111,0,0,3.173,0
0,2009,0,,516274.5079,516561.1095,0,211,612,0,2496.102937,1572.025488,0,0.684634,56.515,0,43.485,0,0,0,0,0,0,0
0,2009,0,,516297.1722,557882.3571,34,242,971,24,527.604125,312.727068,1,1.428759,29.153,0,10.786,9.673,4.104,43.111,0,0,3.173,0
0,2009,0,,516305.9228,532565.3581,32,211,580,0,793.912386,748.635541,1,1.211656,61.416,0,0.521,0.936,6.029,4.338,0,0,0,0
0,2012,0,,516396.0782,552747.132,34,311,797,0,0,946.240435,2,1.346276,2.775,0,12.457,0,40.249,32.388,0,0,0,0
0,2014,0,,516412.072,564336.3864,42,311,896,0,0,465.201531,0,0.434283,0,0,0,0,10.476,87.449,0,0.003,2.072,0
0,2014,0,,516568.3298,558218.0533,34,243,965,24,480.697851,342.317862,1,1.428759,29.153,0,10.786,9.673,4.104,43.111,0,0,3.173,0
1,2014,6,bovine,516803,537638,32,231,596,0,91.12162,1747.831992,1,1.499146,12.46,0,23.293,0,11.516,44.072,0,0,0,1.87
1,2012,8,bovine,516820,552569,34,231,884,0,7.386115,1372.635459,2,1.346276,2.775,0,12.457,0,40.249,32.388,0,0,0,0
0,2014,0,,516859.4395,531387.0954,32,211,530,0,881.056612,237.245509,0,1.101973,46.392,0,25.645,0,0.917,27.046,0,0,0,0
0,2012,0,,516979.2272,556754.049,34,242,943,21,608.9864,0,0,1.744422,12.646,0,18.144,33.212,10.882,0,11.244,1.431,12.441,0
0,2014,0,,516991.1112,546742.5186,31,231,879,0,268.515634,2265.375668,0,1.038493,0,0,50.608,0,0,27.361,0,0,0,0.092
1,2014,9,bovine,517207,565952,42,321,1025,0,442.777146,2183.799701,2,0.910646,0,0,0,0,0,50.812,0,2.788,43.423,2.976
1,2014,9,alte,517321,565932,42,321,1023,0,422.0424,2202.948448,2,0.910646,0,0,0,0,0,50.812,0,2.788,43.423,2.976
0,2014,0,,517421.7911,619392.1102,28,321,1707,0,185.053859,11414.98141,0,0.692851,0,0,0,0,0,0,51.217,0,48.783,0
0,2012,0,,517805.4501,536141.3701,32,231,669,0,613.750696,1344.573732,0,1.5095,11.071,0,29.09,0,29.769,21.825,0,0,0,8.084
1,2012,9,bovine,517840,558701,34,321,950,0,45.791491,758.71702,1,1.415842,0,0,0,25.413,3.212,12.761,14.916,1.035,42.662,0
0,2012,0,,518194.2395,547385.1871,34,311,856,0,0,1933.461313,0,1.038493,0,0,50.608,0,0,27.361,0,0,0,0.092
0,2014,0,,518260.8533,571297.8133,42,313,1327,0,0,4917.000568,0,1.393945,0,0,0,0,0,18.73,16.405,46.794,11.372,6.699
0,2009,0,,518277.9911,524577.8239,30,311,529,117,0,601.826858,0,1.333601,12.572,0,10.319,8.688,7.181,57.644,0,0,0,0
0,2014,0,,518333.0024,544359.7853,31,243,721,0,19.728074,1729.6464,0,1.537229,16.459,0,13.282,0,28.431,11.922,0,0,0,0
0,2012,0,,518439.2685,525193.0023,27,231,509,0,124.353562,1180.487322,0,1.333601,12.572,0,10.319,8.688,7.181,57.644,0,0,0,0
0,2012,0,,518606.2567,618704.8722,28,321,1601,0,117.497528,11105.10655,0,0.692851,0,0,0,0,0,0,51.217,0,48.783,0
1,2009,6,bovine,518797,553526,34,242,943,45,487.262404,315.020966,1,1.06794,0,0,41.828,22.507,0,35.665,0,0,0,0
0,2016,0,,518797.4615,527772.2814,30,211,516,23,320.343357,908.582415,0,1.120103,53.775,0,3.063,1.018,0,28.005,0,0,0,0
0,2012,0,,518803.3246,548131.9628,34,231,863,0,388.000358,1875.124961,0,1.002395,0,0,52.413,17.04,0,30.548,0,0,0,0
0,2014,0,,518883.1258,522521.201,30,243,572,0,913.613553,730.776036,0,1.200388,56.646,0,23.44,0,5.633,7.778,0,0,0,0
0,2014,0,,518915.6152,580126.1787,0,312,1142,0,0,5673.603007,0,0.786562,0,0,0,0,0,17.859,71.466,0,10.675,0
0,2009,0,,518951.1069,543938.1158,31,243,845,0,216.453244,1849.986342,1,1.319175,9.55,0,6.485,0,15.946,52.721,0,0,15.298,0
0,2016,0,,519023.9191,537556.208,32,211,646,41,535.090356,0,0,1.410239,50.69,0,2.706,2.291,1.644,8.726,0,0,0,0
0,2009,0,,519042.0406,553470.8246,34,242,949,45,722.867041,114.03305,1,1.526226,0,0,7.532,40.158,0,3.13,0.094,16.258,24.202,8.626
1,2013,10,ovine,519407,524459,27,211,673,104,47.385707,689.838924,1,1.059091,42.532,0,6.688,0,2.896,46.593,0,0,0,0
0,2009,0,,519464.5791,564714.2292,42,311,833,0,0,3049.4625,0,0.945913,0,0,0,0,0,65.502,21.4,10.057,3.013,0.028
1,2012,6,bovine,519504,553202,42,242,943,26,801.49031,331.963633,1,1.526226,0,0,7.532,40.158,0,3.13,0.094,16.258,24.202,8.626
