"","Damage","Year","Month","Targetspp","POINT_X","POINT_Y","PTX","PTY","Bear_abund","Landcover_code","Altitude","Human_population","Dist_to_forest","Dist_to_town","Livestock_killed","Numberdamageperplot","ShannonDivIndex","prop_arable","prop_orchards","prop_pasture","prop_ag_mosaic","prop_seminatural","prop_deciduous","prop_coniferous","prop_mixedforest","prop_grassland","prop_for_regen","Landcover_2","Prop_natural","Prop_ag","Prop_gras","Hunting","Prop_open","Prop_forest"
"343",1,"2009","9","bovine",575361,559602,575449,559687,16,"243",1154,2,792.245636,740.905235,1,1,1.736276,35.26,0,17.633,18.6,5.347,0,6.368,0,0.038,7.691,"240",13.038,53.86,17.671,1,17.671,6.368
"344",1,"2009","9","bovine",575599,560048,575653,560056,16,"324",1072,0,499.551022,835.616339,3,3,1.886367,16.112,0,12.179,6.542,17.012,0,20.879,0,0,18.029,"324",35.041,22.654,12.179,1,12.179,20.879
"345",1,"2013","5","bovine",575691,569807,575693,569818,0,"231",1264,0,102.923833,1456.969102,1,1,1.199052,4.356,0,23.084,17.726,1.671,0,52.963,0,0.2,0,"231",1.671,22.082,23.284,1,23.284,52.963
"346",1,"2009","7","bovine",575754,561637,575829,561680,16,"211",1021,267,47.346639,174.889529,3,3,1.886367,16.112,0,12.179,6.542,17.012,0,20.879,0,0,18.029,"210",35.041,22.654,12.179,1,12.179,20.879
"347",1,"2016","5","bovine",575981,535685,575994,535710,20,"312",1002,0,0,1841.522148,1,1,0.942827,0,0,14.243,0,0,0,58.85,0,0,26.908,"310",26.908,0,14.243,0,14.243,58.85
"348",1,"2013","9","bovine",576172,518290,576231,518320,18,"312",1072,0,0,3719.19117,1,1,1.146228,0,0,1.984,0,0,29.155,53.785,4.32,10.756,0,"310",0,0,12.74,1,12.74,87.26
"349",1,"2014","7","bovine",576204,507342,576205,507365,53,"311",683,0,0,2987.482205,3,6,0.842318,0,0,0,0,0.801,69.137,20.609,0,9.453,0,"310",0.801,0,9.453,1,9.453,89.746
"350",1,"2013","5","bovine",576510,567344,576578,567355,0,"231",1148,8,22.267496,800.284426,2,2,1.559046,0,0,38.373,14.79,2.152,0,19.17,0,0,8.315,"231",10.467,14.79,38.373,1,38.373,19.17
"351",1,"2009","8","bovine",576846,563028,576922,563121,16,"324",1142,0,77.758109,651.886437,1,1,1.168242,56.656,0,0,0.088,16.896,0,14.351,0,0,0.118,"324",17.014,56.744,0,1,0,14.351
"352",1,"2016","7","bovine",576999,526217,577076,526282,54,"231",945,0,14.926021,3352.827489,1,1,0.839955,0,0,64.733,0,0,0.167,27.739,7.361,0,0,"231",0,0,64.733,0,64.733,35.267
"353",1,"2015","8","bovine",577443,559588,577480,559632,16,"312",1137,16,0,380.126248,2,5,1.368364,0,0,50.324,10.503,9.115,0,16.707,0,0,13.35,"310",22.465,10.503,50.324,1,50.324,16.707
